anio,mes,dia,hora,minuto,aerolinea,origen,destino
2013,1,1,5,15,UA,EWR,IAH
2013,1,1,5,29,UA,LGA,IAH
2013,1,1,5,40,AA,JFK,MIA
2013,1,1,5,45,B6,JFK,BQN
2013,1,1,6,0,DL,LGA,ATL
2013,1,1,5,58,UA,EWR,ORD
2013,1,1,6,0,B6,EWR,FLL
2013,1,1,6,0,EV,LGA,IAD
2013,1,1,6,0,B6,JFK,MCO
2013,1,1,6,0,AA,LGA,ORD
2013,1,1,6,0,B6,JFK,PBI
2013,1,1,6,0,B6,JFK,TPA
2013,1,1,6,0,UA,JFK,LAX
2013,1,1,6,0,UA,EWR,SFO
2013,1,1,6,0,AA,LGA,DFW
2013,1,1,5,59,B6,JFK,BOS
2013,1,1,6,0,UA,EWR,LAS
2013,1,1,6,0,B6,LGA,FLL
2013,1,1,6,0,MQ,LGA,ATL
2013,1,1,6,0,B6,EWR,PBI
2013,1,1,6,10,DL,LGA,MSP
2013,1,1,6,5,MQ,LGA,DTW
2013,1,1,6,10,AA,EWR,MIA
2013,1,1,6,10,DL,JFK,ATL
2013,1,1,6,7,UA,EWR,MIA
2013,1,1,6,0,MQ,EWR,ORD
2013,1,1,6,0,UA,JFK,SFO
2013,1,1,6,10,B6,JFK,RSW
2013,1,1,6,15,B6,JFK,SJU
2013,1,1,6,15,DL,EWR,ATL
2013,1,1,6,30,US,EWR,PHX
2013,1,1,6,10,AA,LGA,MIA
2013,1,1,6,27,UA,LGA,IAH
2013,1,1,6,30,EV,EWR,MSP
2013,1,1,6,30,MQ,LGA,MSP
2013,1,1,6,30,US,JFK,PHX
2013,1,1,6,30,AA,JFK,SJU
2013,1,1,6,30,UA,EWR,LAX
2013,1,1,6,30,AA,LGA,ORD
2013,1,1,6,30,WN,LGA,BWI
2013,1,1,6,30,US,EWR,CLT
2013,1,1,6,8,EV,EWR,IAD
2013,1,1,6,35,AA,LGA,DFW
2013,1,1,6,45,B6,LGA,MCO
2013,1,1,6,40,B6,JFK,BOS
2013,1,1,6,46,UA,EWR,PBI
2013,1,1,6,45,US,EWR,CLT
2013,1,1,6,36,UA,EWR,FLL
2013,1,1,6,47,B6,JFK,BUF
2013,1,1,6,45,UA,LGA,DEN
2013,1,1,6,45,UA,EWR,SNA
2013,1,1,6,55,B6,JFK,LAS
2013,1,1,6,55,B6,JFK,MSY
2013,1,1,7,0,DL,LGA,PBI
2013,1,1,6,55,DL,JFK,SLC
2013,1,1,7,0,DL,JFK,SFO
2013,1,1,7,0,DL,LGA,MIA
2013,1,1,7,0,AA,LGA,ORD
2013,1,1,6,59,AA,JFK,MCO
2013,1,1,7,5,MQ,LGA,XNA
2013,1,1,7,0,UA,EWR,TPA
2013,1,1,7,0,DL,LGA,FLL
2013,1,1,7,0,DL,LGA,ATL
2013,1,1,7,0,VX,JFK,LAX
2013,1,1,7,0,AA,LGA,MIA
2013,1,1,7,0,B6,JFK,FLL
2013,1,1,7,5,DL,LGA,DTW
2013,1,1,7,0,UA,EWR,RSW
2013,1,1,7,0,UA,EWR,SJU
2013,1,1,7,0,B6,JFK,LAX
2013,1,1,7,0,UA,LGA,ORD
2013,1,1,7,15,B6,JFK,SJU
2013,1,1,7,15,AA,JFK,FLL
2013,1,1,7,13,UA,EWR,ORD
2013,1,1,7,20,FL,LGA,MKE
2013,1,1,7,21,B6,JFK,MCO
2013,1,1,7,25,UA,EWR,PBI
2013,1,1,7,30,AA,LGA,DFW
2013,1,1,7,25,AS,EWR,SEA
2013,1,1,7,30,AA,EWR,DFW
2013,1,1,7,30,UA,EWR,DEN
2013,1,1,7,32,UA,LGA,IAH
2013,1,1,7,30,VX,JFK,SFO
2013,1,1,7,35,B6,JFK,ROC
2013,1,1,7,29,B6,LGA,RSW
2013,1,1,6,45,UA,EWR,MCO
2013,1,1,7,36,B6,JFK,SYR
2013,1,1,7,37,B6,JFK,SFO
2013,1,1,7,45,AA,LGA,ORD
2013,1,1,7,39,UA,EWR,IAH
2013,1,1,7,45,B6,LGA,TPA
2013,1,1,7,30,AA,JFK,LAX
2013,1,1,7,49,B6,JFK,SRQ
2013,1,1,7,30,DL,JFK,SEA
2013,1,1,7,45,AA,JFK,SFO
2013,1,1,7,46,UA,EWR,SFO
2013,1,1,7,10,MQ,EWR,ORD
2013,1,1,7,55,DL,LGA,MCO
2013,1,1,7,50,UA,LGA,DEN
2013,1,1,7,59,US,LGA,CLT
